"Gene","Module"
"9030624L02Rik","blue"
"Gpam","blue"
"Cnr2","blue"
"Eprs","blue"
"Pam","blue"
"Evi2a","blue"
"Ifit3","blue"
"Prtn3","blue"
"H2-Eb1","blue"
"H2afz","blue"
"Ski","blue"
"4933428G20Rik","blue"
"Btf3","blue"
"Gpr155","blue"
"Adh6a","blue"
"Myh2","blue"
"1500041B16Rik","blue"
"AI451557","blue"
"Sgol1","blue"
"Reg1","blue"
"Mt2","blue"
"Bing4","blue"
"Akr1b8","blue"
"Hspe1","blue"
"Loxl1","blue"
"Sprr1a","blue"
"Serpina3k","blue"
"Hipk3","blue"
"AI606181","blue"
"Slc27a3","blue"
"Hal","blue"
"4930542G03Rik","blue"
"2600010E01Rik","blue"
"Evi2b","blue"
"Ppm1l","blue"
"4930422J18Rik","blue"
"C920008G01Rik","blue"
"Lum","blue"
"2610510J17Rik","blue"
"4921532K09Rik","blue"
"Pira6","blue"
"Olfr584","blue"
"Agpt2","blue"
"1110031B11Rik","blue"
"Olfr535","blue"
"Sfrs7","blue"
"Cttnbp2","blue"
"Gstm2","blue"
"Kifc3","blue"
"Csf3r","blue"
"Lcp2","blue"
"Rab18","blue"
"Nudt12","blue"
"AA407452","blue"
"E430036I04Rik","blue"
"Olfr957","blue"
"Gtf2a2","blue"
"Gck","blue"
"AI316785","blue"
"Nme2","blue"
"Ldh1","blue"
"Bcas3","blue"
"A630024B12Rik","blue"
"Cntnap2","blue"
"5330440M15Rik","blue"
"Foxa3","blue"
"Sh3bgrl","blue"
"6330403K07Rik","blue"
"Il1rn","blue"
"Panx1","blue"
"E230026N22Rik","blue"
"Cpne2","blue"
"LOC13909","blue"
"Alg3","blue"
"Gp49a","blue"
"Slc39a10","blue"
"BC027127","blue"
"Ms4a6b","blue"
"Dok1","blue"
"Arl10b","blue"
"Gpld1","blue"
"BC031407","blue"
"Kcnq1","blue"
"BC027756","blue"
"Sdro","blue"
"Ifi47","blue"
"Cd3d","blue"
"C130086A10","blue"
"BC029892","blue"
"Pira3","blue"
"Chc1l","blue"
"Ian6","blue"
"Rgn","blue"
"Pcna","blue"
"Itgbl1","blue"
"Taf13","blue"
"E430007K15Rik","blue"
"Try3","blue"
"Gasz","blue"
"Grm6","blue"
"2610510D13Rik","blue"
"Sfrs5","blue"
"Sfxn3","blue"
"Lgi2","blue"
"Impa2","blue"
"Apbb1ip","blue"
"H2-DMb1","blue"
"Pycs","blue"
"Ris2","blue"
"Stmn1","blue"
"Fasn","blue"
"Mark2","blue"
"Tek","blue"
"Kntc2","blue"
"C1qr1","blue"
"Hexa","blue"
"4933434G05Rik","blue"
"9030408N13Rik","blue"
"Glipr1","blue"
"Cyp2d13","blue"
"Stat5a","blue"
"Hprt","blue"
"2900054P12Rik","blue"
"Igsf4a","blue"
"Slc39a14","blue"
"D14Ertd668e","blue"
"Mb","blue"
"Ms4a10","blue"
"Plk1","blue"
"AY053573","blue"
"Myo1a","blue"
"1110019O13Rik","blue"
"1810023F06Rik","blue"
"9030623C06Rik","blue"
"Olfr380","blue"
"1110008L20Rik","blue"
"D530025C17Rik","blue"
"C86987","blue"
"H2-Aa","blue"
"Ccdc3","blue"
"1600029D21Rik","blue"
"2300003P22Rik","blue"
"Il16","blue"
"Hamp","blue"
"Csf2rb2","blue"
"Cxcl14","blue"
"Pcolce","blue"
"Phf11","blue"
"A930006D20Rik","blue"
"A330080J22Rik","blue"
"2610039C10Rik","blue"
"Hexb","blue"
"P2ry1","blue"
"Fzd3","blue"
"Gys2","blue"
"Rps3","blue"
"Nt5e","blue"
"Cldn5","blue"
"Dlgap4","blue"
"Otc","blue"
"Ifng","blue"
"Adamts2","blue"
"Sacm1l","blue"
"4921508E09Rik","blue"
"Uox","blue"
"C1galt1","blue"
"9430067K14Rik","blue"
"Arpc1b","blue"
"Phka1","blue"
"Atp11c","blue"
"4930503L19Rik","blue"
"1300018K11Rik","blue"
"4921537P18Rik","blue"
"Eif1a","blue"
"Sbk","blue"
"Rpl15","blue"
"Lgals4","blue"
"Aif1","blue"
"Ctla2a","blue"
"Cenph","blue"
"4930415F15Rik","blue"
"Dr1","blue"
"4931409K22","blue"
"Nrn1","blue"
"Thbd","blue"
"2010209O12Rik","blue"
"Cox7a2","blue"
"Btbd9","blue"
"Gclm","blue"
"C530009C10Rik","blue"
"Capg","blue"
"2310001N14Rik","blue"
